building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
21-25 arası,5,2,2+1,90,Esenler,Fevzi Çakmak,55000,100000
2,10,8,2+1,85,Çekmeköy,Güngören,40000,380000
0,8,1,2+1,85,Kadıköy,Merdivenköy,0,280000
0,10-20 arası,2,4+1,110,Kadıköy,Suadiye,0,650000
0,4,3,2+1,80,Maltepe,İdealtepe,0,145000
40 ve üzeri,7,6,3+1,100,Beşiktaş,Gayrettepe,165000,980000
11-15 arası,5,1,3+1,140,Ümraniye,Mehmet Akif,0,500000
0,3,2,2+1,90,Bağcılar,15 Temmuz,115000,145000
21-25 arası,5,5,5+1,190,Bakırköy,Zuhuratbaba,0,650000
16-20 arası,5,4,3+1,120,Ümraniye,Elmalıkent,0,155000
3,5,3,3+1,106,Tuzla,İstasyon,0,295000
21-25 arası,5,2,3+1,135,Güngören,Abdurrahman Nafiz Gürman,130000,140000
16-20 arası,4,4,2+1,90,Fatih,Silivrikapı,255000,320000
6-10 arası,10-20 arası,2,3+1,116,Başakşehir,Kayabaşı,0,160000
26-30 arası,5,1,2+1,90,Zeytinburnu,Gökalp,370000,370000
16-20 arası,5,2,3+1,170,Bağcılar,Merkez,430000,430000
16-20 arası,8,2,3+1,122,Beylikdüzü,Marmara,135000,155000
0,2,3,3+2,175,Arnavutköy,Mustafa Kemal Paşa,175000,175000
31-35 arası,3,3,2+1,115,Fatih,Silivrikapı,415000,415000
0,2,2,3+1,120,Bağcılar,Güneşli,0,160000
31-35 arası,3,Bahçe katı,3+2,165,Maltepe,Yalı,260000,260000
6-10 arası,4,Kot 1,3+1,110,Beyoğlu,Halıcıoğlu,160000,200000
11-15 arası,5,4,3+1,140,Bağcılar,Kirazlı,75000,125000
0,10-20 arası,1,2+1,100,Bağcılar,Hürriyet,120000,150000
5,4,Kot 4,4+1,170,Pendik,Orta,0,140000
1,4,Kot 1,2+1,85,Avcılar,Gümüşpala,0,115000
6-10 arası,3,3,3+1,120,Adalar,Maden,220000,275000
6-10 arası,5,1,3+1,160,Üsküdar,Kısıklı,300000,300000
1,20 ve üzeri,2,2+1,85,Ataşehir,Küçükbakkalköy,255000,320000
0,10-20 arası,1,2+1,100,Bağcılar,Hürriyet,90000,150000
6-10 arası,7,6,2+2,141,Maltepe,Altıntepe,0,275000
5,3,3,3+1,125,Ümraniye,Çakmak,280000,350000
1,20 ve üzeri,2,2+1,85,Ataşehir,Küçükbakkalköy,455000,455000
0,10-20 arası,4,3+1,120,Bağcılar,Mahmutbey,0,215000
36-40 arası,5,1,2+1,80,Kadıköy,Eğitim,345000,430000
0,3,Yüksek Giriş,2+1,100,Bağcılar,15 Temmuz,60000,105000
1,5,Kot 2,2+1,95,Beylikdüzü,Barış,155000,195000
0,5,Bahçe katı,2+1,100,Esenyurt,Mehmet Akif Ersoy,0,135000
0,3,2,2+1,80,Bağcılar,Güneşli,15000,105000
0,3,3,4+1,160,Bağcılar,15 Temmuz,0,145000
0,3,3,4+2,178,Bağcılar,Bağlar,0,450000
0,10-20 arası,12,2+1,119,Sultanbeyli,Adil,0,165000
11-15 arası,8,2,3+1,135,Ümraniye,Necip Fazıl,50000,130000
6-10 arası,5,1,2+1,87,Esenler,Menderes,265000,305000
2,4,3,3+1,115,Kartal,Hürriyet,0,215000
11-15 arası,4,3,3+1,125,Üsküdar,Küçüksu,465000,580000
0,5,3,3+1,115,Çatalca,Ferhatpaşa,280000,350000
16-20 arası,4,Kot 3,2+1,80,Fatih,Şehremini,25000,100000
31-35 arası,5,1,2+1,87,Fatih,Sümbül Efendi,85000,135000
0,5,3,3+1,140,Büyükçekmece,Ekinoba,430000,430000
0,5,Kot 2,2+1,84,Eyüpsultan,Merkez,0,165000
0,4,Kot 4,4+1,190,Küçükçekmece,Yeni Mahalle,235000,295000
0,3,2,2+1,90,Bağcılar,15 Temmuz,25000,315000
2,8,2,3+1,85,Pendik,Sapan Bağları,200000,250000
16-20 arası,8,2,3+1,95,Güngören,Tozkoparan,90000,540000
16-20 arası,5,Kot 1,3+1,120,Ataşehir,Mustafa Kemal,240000,300000
6-10 arası,10-20 arası,2,3+1,117,Başakşehir,Kayabaşı,340000,425000
6-10 arası,5,2,3+1,130,Eyüpsultan,Göktürk Merkez,195000,245000
0,4,1,2+1,95,Maltepe,Feyzullah,0,180000
0,4,2,2+1,85,Küçükçekmece,Söğütlü Çeşme,45000,115000
5,4,Kot 1,3+1,165,Büyükçekmece,Pınartepe,245000,180000
1,8,2,3+1,135,Beylikdüzü,Barış,190000,190000
0,3,2,2+1,90,Bağcılar,15 Temmuz,125000,155000
16-20 arası,4,Yüksek Giriş,3+1,100,Bayrampaşa,Kocatepe,375000,375000
16-20 arası,4,2,3+1,115,Maltepe,Bağlarbaşı,60000,130000
16-20 arası,5,Yüksek Giriş,3+1,145,Çekmeköy,Merkez,0,280000
21-25 arası,5,2,3+1,110,Güngören,Abdurrahman Nafiz Gürman,0,255000
6-10 arası,5,3,3+1,110,Kartal,Gümüşpınar,165000,205000
